   0.2771 - 0.4604i
   0.1035 - 0.7604i
   0.4889 + 0.1863i
   0.0413 + 0.0717i
  -0.2498 + 0.2870i
   0.7496 + 0.2903i
  -0.5756 - 0.3267i
  -0.2259 - 0.5126i
  -0.8831 + 0.0097i
  -0.1517 + 0.4684i
  -0.1418 - 0.2924i
   0.6181 - 0.2927i
   0.5983 - 0.1143i
   0.0365 - 0.1120i
   0.9443 + 0.3402i
   0.0517 + 0.2889i
   0.0970 + 0.5537i
   0.1010 - 0.3208i
  -0.7936 + 1.1560i
   0.2542 + 0.4686i
  -0.4788 - 0.3253i
  -0.2744 - 0.1724i
   0.3569 + 0.3742i
  -0.5075 - 1.1427i
   0.1066 + 0.3660i
   0.5312 - 0.1167i
  -0.0019 + 0.0060i
  -0.1781 + 0.2668i
  -0.7206 - 0.3348i
  -0.4049 + 0.4848i
  -0.8235 - 0.2466i
   0.2699 - 0.2689i
   0.3832 + 1.0587i
   0.3427 - 0.3974i
   0.0647 - 0.4298i
  -0.0802 - 0.1423i
  -0.6389 - 0.2812i
  -0.3901 + 0.4040i
  -0.4804 - 0.2734i
  -0.4879 + 0.1322i
   0.2293 - 1.2122i
   0.1529 + 0.2602i
  -0.1598 - 0.2136i
   0.6444 - 0.4676i
   0.2719 + 0.5093i
  -0.0514 + 0.6181i
   0.3782 - 0.3521i
   0.6693 + 1.0189i
   0.1206 - 0.1356i
   0.6577 + 0.5559i
   0.4531 + 0.2135i
  -0.0462 + 0.9624i
   0.7849 - 0.2347i
  -0.4658 - 0.0758i
   0.3331 - 0.4867i
  -0.3037 - 0.3083i
   0.4358 - 0.2311i
  -0.5035 - 1.2060i
   0.2300 - 0.0768i
  -0.1748 - 0.6748i
  -0.3074 + 0.2673i
  -0.0032 + 0.1046i
   0.7820 + 0.8850i
   0.0768 + 0.1036i
  -0.0296 - 0.4132i
   0.3836 + 1.2096i
   0.5409 - 0.5621i
  -0.0093 - 0.6003i
   0.3766 + 0.6929i
   0.1006 + 0.1867i
  -0.2153 - 0.7404i
  -0.0133 + 0.6649i
  -0.1279 - 0.5225i
   0.5350 - 0.0052i
  -0.6706 - 0.7321i
  -0.3741 - 0.0339i
  -0.7709 - 0.1954i
  -0.6999 - 0.2256i
   0.3264 + 0.5271i
  -0.3078 + 0.0754i
  -0.4125 - 0.0702i
   0.4492 - 0.9657i
   0.5262 - 0.3661i
   0.1132 - 0.1686i
   0.0595 + 0.5333i
  -0.3733 - 0.0629i
   0.4030 + 0.1132i
  -0.0046 - 0.0633i
  -1.3871 - 0.0622i
  -0.5716 + 0.6511i
  -0.4654 - 0.3367i
  -0.1148 - 0.3169i
   0.8323 + 0.5791i
  -0.5236 + 0.6199i
  -0.5546 + 0.3140i
   0.0427 - 0.0823i
   0.0969 - 0.4315i
  -0.1983 + 0.2973i
  -0.2719 + 0.1521i
   0.2136 + 0.3677i
  -0.0416 + 0.3850i
  -0.4823 - 0.0170i
  -0.5721 - 0.5702i
   0.2207 + 0.2430i
  -0.1298 + 0.0421i
  -0.0388 + 0.0733i
  -0.0040 + 0.5255i
   0.2918 + 0.3775i
   0.4276 + 0.4032i
   0.5490 - 0.0887i
  -0.8686 + 0.2305i
  -0.1997 + 0.2677i
  -0.4713 - 0.2552i
   0.4212 - 0.7286i
   0.2178 + 0.4794i
